BookingID,CheckInDate,CheckOutDate,NumberOfNights,NumberOfGuests,RoomType,RoomRate,Revenue,BookingSource,CustomerID,CustomerAge,CustomerGender,CustomerNationality,BookingDate,PaymentMethod,DiscountApplied,TotalRevenue,OccupancyRate,WeekdayOrWeekend,Season,CustomerOccupation,PurposeOfVisit,FeedbackScore,LoyaltyMember,SpecialRequests,RoomView
BID0001,20-08-2024,31-08-2024,11,2,Single,79.56062997,1373.155872,Walk-in,CID0001,74,Other,USA,16-03-2023,Credit Card,14.48745871,912.8306777,57.73286446,Weekend,Autumn,Engineer,Business,10,Yes,Sea View,Sea View
BID0002,20-11-2024,21-11-2024,1,2,Double,271.9274571,1742.8158,Online,CID0002,73,Other,USA,18-03-2024,Online Payment,25.86810576,1896.210008,79.58020491,Weekend,Summer,Student,Conference,8,No,None,Garden View
BID0003,22-02-2024,28-02-2024,6,2,Single,334.2216461,1233.365199,Online,CID0003,73,Male,UK,08-05-2024,Online Payment,11.64149418,647.4126965,80.12038184,Weekday,Summer,Lawyer,Leisure,9,No,None,Sea View
BID0004,21-01-2024,30-01-2024,9,3,Double,88.61550367,327.8006862,Travel Agent,CID0004,70,Male,UK,19-08-2024,Credit Card,13.65795321,469.4136629,53.46045843,Weekday,Autumn,Student,Conference,3,No,Sea View,Garden View
BID0005,08-01-2024,12-01-2024,4,2,Single,230.532211,881.8159484,Online,CID0005,18,Female,India,06-12-2023,Debit Card,37.58242459,1904.632483,51.45793948,Weekend,Autumn,Doctor,Conference,9,No,None,Mountain View
BID0006,13-08-2024,26-08-2024,13,2,Double,225.2180712,196.5519475,Online,CID0006,36,Female,Australia,13-12-2024,Online Payment,18.85814581,812.88214,76.56553898,Weekend,Autumn,Teacher,Business,1,No,Early Check-out,Sea View
BID0007,09-11-2024,22-11-2024,13,2,Double,411.1347473,1615.252514,Walk-in,CID0007,26,Other,India,16-03-2023,Cash,39.41607678,240.0620656,63.64147934,Weekday,Winter,Teacher,Conference,7,No,Early Check-out,Mountain View
BID0008,16-11-2024,25-11-2024,9,1,Single,448.8346384,1540.295208,Walk-in,CID0008,37,Other,Germany,02-06-2023,Credit Card,32.27733174,329.7626275,84.00727272,Weekend,Autumn,Lawyer,Conference,1,Yes,Early Check-out,Garden View
BID0009,03-05-2024,05-05-2024,2,4,Double,128.9791603,876.5258912,Travel Agent,CID0009,34,Other,India,24-06-2024,Debit Card,41.82524184,1064.383043,67.96732516,Weekend,Summer,Teacher,Conference,9,No,None,Sea View
BID0010,05-05-2024,14-05-2024,9,4,Double,482.9876035,550.7969624,Walk-in,CID0010,68,Other,UK,04-05-2024,Debit Card,11.47670261,438.709106,61.47925267,Weekday,Spring,Teacher,Conference,9,No,None,Garden View
BID0011,06-03-2024,08-03-2024,2,3,Single,329.2623915,802.1679829,Travel Agent,CID0011,27,Other,UK,11-05-2024,Online Payment,25.38527363,501.2980874,70.92163204,Weekend,Winter,Teacher,Business,7,Yes,Late Check-in,Sea View
BID0012,02-02-2024,15-02-2024,13,2,Single,232.5254665,1265.625366,Travel Agent,CID0012,78,Female,USA,18-07-2023,Debit Card,6.397899459,816.2416255,84.59927922,Weekend,Summer,Engineer,Leisure,4,No,None,Garden View
BID0013,19-08-2024,28-08-2024,9,2,Double,358.49456,1836.14807,Travel Agent,CID0013,68,Male,India,13-06-2023,Debit Card,27.32723742,1722.163571,88.45932364,Weekday,Winter,Engineer,Leisure,10,Yes,Sea View,Mountain View
BID0014,07-09-2024,11-09-2024,4,1,Single,358.9428741,273.5892719,Walk-in,CID0014,52,Other,Australia,08-05-2023,Cash,5.562676587,1270.649599,53.15699388,Weekday,Spring,Student,Other,9,No,Late Check-in,Sea View
BID0015,02-08-2024,12-08-2024,10,4,Suite,392.1374702,1713.649883,Online,CID0015,38,Female,Germany,28-03-2024,Cash,21.49933874,1848.65933,71.70172696,Weekend,Autumn,Student,Leisure,5,Yes,Late Check-in,City View
BID0016,22-04-2024,27-04-2024,5,2,Suite,102.1634086,856.6054002,Travel Agent,CID0016,56,Male,India,02-07-2024,Cash,10.12168708,477.1300482,61.99188857,Weekday,Winter,Doctor,Leisure,8,Yes,None,Garden View
BID0017,24-01-2024,26-01-2024,2,1,Suite,293.5318421,284.3982248,Online,CID0017,61,Other,Australia,08-12-2023,Online Payment,45.67069565,967.200795,58.57532176,Weekday,Autumn,Lawyer,Leisure,5,No,Extra Bed,Mountain View
BID0018,21-06-2024,25-06-2024,4,1,Suite,470.0583595,874.9191332,Travel Agent,CID0018,21,Female,Australia,06-01-2024,Online Payment,42.99848799,1646.359826,63.77443051,Weekday,Winter,Student,Conference,2,No,Sea View,Sea View
BID0019,19-08-2024,27-08-2024,8,1,Single,434.9740316,1771.197034,Walk-in,CID0019,40,Male,USA,30-04-2023,Debit Card,42.90782641,1177.344117,89.20290662,Weekday,Autumn,Doctor,Other,9,No,Early Check-out,Garden View
BID0020,15-01-2024,29-01-2024,14,4,Suite,72.24706929,1564.325355,Walk-in,CID0020,42,Female,Germany,27-05-2024,Cash,47.55000219,811.1481623,85.85350125,Weekend,Summer,Lawyer,Business,3,No,Sea View,Mountain View
BID0021,12-05-2024,22-05-2024,10,3,Suite,86.24668696,244.2415903,Walk-in,CID0021,25,Other,Germany,14-05-2024,Debit Card,2.922966345,615.3919415,86.66388612,Weekday,Spring,Doctor,Other,5,Yes,None,Mountain View
BID0022,08-07-2024,20-07-2024,12,2,Single,336.6721903,676.7965378,Online,CID0022,19,Female,UK,24-09-2023,Credit Card,26.08312307,294.7511705,85.83944703,Weekday,Autumn,Teacher,Conference,2,No,None,Sea View
BID0023,27-07-2024,03-08-2024,7,1,Single,247.8851924,219.8014076,Online,CID0023,35,Other,India,17-10-2023,Cash,24.10150464,337.8998894,54.15908117,Weekend,Winter,Lawyer,Business,3,Yes,Sea View,Sea View
BID0024,09-03-2024,21-03-2024,12,1,Single,115.5982369,1917.911855,Walk-in,CID0024,60,Other,India,06-03-2023,Cash,14.89041665,1606.91065,90.31748552,Weekday,Winter,Student,Business,6,No,Late Check-in,Garden View
BID0025,03-07-2024,17-07-2024,14,4,Double,372.6419311,312.4738126,Online,CID0025,35,Other,UK,26-03-2023,Online Payment,11.03988507,1573.592543,62.32672288,Weekend,Winter,Lawyer,Business,8,Yes,Sea View,Sea View
BID0026,05-07-2024,17-07-2024,12,3,Single,471.5103742,1175.814657,Travel Agent,CID0026,41,Male,Germany,04-08-2023,Credit Card,45.66469277,715.061359,88.70602026,Weekday,Summer,Student,Leisure,3,Yes,Sea View,Mountain View
BID0027,26-11-2024,01-12-2024,5,2,Single,103.5030266,1201.934609,Travel Agent,CID0027,32,Other,UK,29-12-2023,Cash,32.38941357,671.3294926,64.76599842,Weekend,Autumn,Engineer,Leisure,3,No,Early Check-out,Mountain View
BID0028,17-02-2024,23-02-2024,6,2,Suite,208.1970991,1539.2847,Walk-in,CID0028,80,Male,Australia,17-05-2024,Online Payment,13.53775448,1762.612233,85.45941294,Weekday,Summer,Doctor,Business,8,Yes,Extra Bed,Sea View
BID0029,06-01-2024,13-01-2024,7,2,Single,381.6932337,1561.438247,Travel Agent,CID0029,65,Female,Germany,10-04-2024,Credit Card,3.861357862,301.6015276,85.8988506,Weekday,Autumn,Student,Other,1,No,None,Mountain View
BID0030,25-06-2024,08-07-2024,13,4,Double,292.2320283,1684.924292,Walk-in,CID0030,52,Male,India,22-04-2023,Cash,10.19549136,1744.402955,83.97674484,Weekday,Spring,Lawyer,Business,6,No,Early Check-out,City View
BID0031,30-11-2024,13-12-2024,13,3,Single,388.2079394,1846.445464,Walk-in,CID0031,29,Male,Germany,24-09-2024,Credit Card,44.64037996,1683.53634,74.07657448,Weekend,Winter,Student,Conference,2,No,Early Check-out,Garden View
BID0032,14-07-2024,19-07-2024,5,1,Suite,119.2626162,330.0968604,Walk-in,CID0032,22,Male,Australia,11-09-2023,Cash,28.91833167,649.3336431,92.65433012,Weekend,Winter,Teacher,Other,2,No,None,Mountain View
BID0033,14-08-2024,24-08-2024,10,3,Single,243.7625629,1795.983645,Online,CID0033,19,Male,Australia,19-05-2023,Online Payment,40.03067912,1576.638175,87.00679879,Weekday,Autumn,Lawyer,Conference,1,Yes,Early Check-out,Garden View
BID0034,05-10-2024,16-10-2024,11,4,Suite,94.32025316,243.6572834,Online,CID0034,72,Male,USA,27-11-2024,Debit Card,48.31077798,1494.551016,70.60167632,Weekday,Autumn,Student,Leisure,8,Yes,Sea View,City View
BID0035,18-02-2024,25-02-2024,7,1,Double,494.0753626,1899.330966,Online,CID0035,59,Male,USA,23-03-2024,Credit Card,37.41713974,1790.804942,65.33577104,Weekend,Autumn,Teacher,Leisure,2,Yes,Late Check-in,Garden View
BID0036,19-08-2024,02-09-2024,14,1,Suite,461.6552694,1215.684677,Walk-in,CID0036,18,Male,India,09-02-2023,Credit Card,22.78709193,474.6602613,54.61713517,Weekday,Summer,Lawyer,Business,9,Yes,Extra Bed,Sea View
BID0037,05-06-2024,17-06-2024,12,3,Suite,292.5039473,935.8842701,Walk-in,CID0037,60,Other,Germany,06-03-2023,Online Payment,12.16649839,412.4020043,75.21818552,Weekday,Autumn,Student,Conference,5,No,Extra Bed,Mountain View
BID0038,02-06-2024,04-06-2024,2,4,Suite,156.2330117,811.6307325,Online,CID0038,23,Other,Australia,27-03-2024,Online Payment,48.92145423,850.0205522,61.29803844,Weekend,Autumn,Lawyer,Other,10,No,Early Check-out,City View
BID0039,17-05-2024,24-05-2024,7,2,Single,189.9145046,1086.657413,Travel Agent,CID0039,57,Male,USA,19-01-2024,Cash,11.69258543,1716.100709,62.93795286,Weekend,Spring,Engineer,Conference,7,No,None,Mountain View
BID0040,07-08-2024,11-08-2024,4,2,Single,59.09747316,1245.351362,Travel Agent,CID0040,72,Male,UK,06-11-2023,Cash,46.22066906,341.2642856,55.26638968,Weekend,Spring,Student,Leisure,3,No,Early Check-out,Sea View
BID0041,17-08-2024,23-08-2024,6,1,Suite,159.139348,1385.749787,Walk-in,CID0041,48,Male,Germany,16-08-2024,Debit Card,29.23143755,544.2619225,87.72144969,Weekend,Spring,Engineer,Conference,3,No,Sea View,Sea View
BID0042,14-03-2024,18-03-2024,4,2,Suite,428.4110459,1904.798983,Walk-in,CID0042,40,Female,India,06-10-2023,Debit Card,30.74361237,1936.378772,75.66165834,Weekday,Winter,Lawyer,Business,8,No,None,Garden View
BID0043,23-01-2024,28-01-2024,5,4,Double,247.3885801,731.0806024,Walk-in,CID0043,68,Female,Germany,07-03-2024,Online Payment,5.021748183,944.7128831,70.8978134,Weekend,Spring,Doctor,Other,8,No,Extra Bed,Garden View
BID0044,17-09-2024,29-09-2024,12,3,Single,312.5458685,927.2350674,Travel Agent,CID0044,58,Male,Australia,01-10-2023,Credit Card,42.48196214,432.8798863,89.93773432,Weekday,Summer,Doctor,Conference,5,Yes,Sea View,Garden View
BID0045,29-11-2024,12-12-2024,13,2,Single,417.505667,1807.083179,Online,CID0045,49,Male,Germany,09-05-2024,Cash,6.957804319,1627.529857,77.40000018,Weekday,Spring,Teacher,Conference,8,Yes,Early Check-out,Sea View
BID0046,17-07-2024,24-07-2024,7,2,Single,115.1114667,613.2181411,Online,CID0046,26,Female,Germany,21-01-2024,Online Payment,30.58462758,1334.71269,82.42338391,Weekend,Summer,Lawyer,Business,3,Yes,Late Check-in,City View
BID0047,16-09-2024,19-09-2024,3,3,Single,221.5337076,1038.96682,Walk-in,CID0047,23,Female,India,20-12-2024,Debit Card,43.66605681,1175.090693,65.29997886,Weekday,Summer,Lawyer,Leisure,4,No,Extra Bed,Mountain View
BID0048,11-11-2024,19-11-2024,8,2,Double,98.66320771,812.3652071,Walk-in,CID0048,72,Other,UK,15-11-2024,Credit Card,47.37045501,766.824066,85.33171615,Weekend,Spring,Doctor,Other,3,Yes,Extra Bed,Garden View
BID0049,22-11-2024,23-11-2024,1,1,Double,169.6910083,1723.74756,Travel Agent,CID0049,28,Other,India,05-05-2024,Online Payment,12.89892871,1817.608648,97.27409596,Weekend,Summer,Engineer,Conference,8,No,Early Check-out,Sea View
BID0050,21-05-2024,23-05-2024,2,3,Single,87.87484539,801.6457669,Travel Agent,CID0050,30,Other,Australia,18-09-2023,Online Payment,45.97883414,1327.795962,83.021348,Weekend,Winter,Student,Business,10,No,Sea View,City View
